null_order,tardy_order,null_strain,tardy_strain
0.5608,0.5508,0.0005371,0.0005276
0.6542,0.6318,0.0006266,0.0006051
0.7477,0.81,0.0007161,0.0007758
0.8879,1.0206,0.0008504,0.0009775
0.9658,1.134,0.00092502,0.001086
