null_order,tardy_order,null_strain,tardy_strain
0.81,0.8262,0.0007758,0.0007913
0.9969,0.9396,0.0009549,0.0008999
1.1683,1.0854,0.001119,0.001039
1.2617,1.2617,0.001208,0.001226
1.4331,1.539,0.001373,0.001474
