null_order,tardy_order,null_strain,tardy_strain
0.6854,0.729,0.0006565,0.0006982
0.81,0.81,0.0007758,0.0007758
0.919,0.972,0.0008802,0.0009309
1.0592,1.1664,0.001015,0.001117
1.1683,1.3284,0.001118,0.001272
