,T1 (Celsius),P1 (MPa),P6 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,36.044,35.411,30000.0
1,513.333,9.333,0.007,40.019,32.07,30000.0
2,626.667,10.667,0.004,43.634,26.281,30000.0
3,740.0,12.0,0.001,48.26,21.616,30000.0
