,T1 (Celsius),P1 (MPa),P5 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,40.547,25.231,30000.0
1,513.333,9.333,0.007,44.697,20.84,30000.0
2,626.667,10.667,0.004,48.885,17.458,30000.0
3,740.0,12.0,0.001,54.229,14.488,30000.0
