,T1 (Celsius),P1 (MPa),P6 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,295.009,8.0,0.01,33.645,40.731,30000.0
1,305.967,9.333,0.007,35.135,39.608,30000.0
2,315.778,10.667,0.004,36.899,38.3,30000.0
3,324.678,12.0,0.001,40.072,35.824,30000.0
