,T1 (Celsius),P1 (MPa),P4 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,295.009,8.0,0.01,31.253,32.246,30000.0
1,305.967,9.333,0.01,31.879,31.463,30000.0
2,315.778,10.667,0.009,32.41,30.827,30000.0
3,324.678,12.0,0.009,32.866,30.297,30000.0
