,T1 (Celsius),P1 (MPa),P5 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,295.009,8.0,0.01,33.669,35.242,30000.0
1,305.967,9.333,0.01,34.417,34.688,30000.0
2,315.778,10.667,0.009,35.051,34.269,30000.0
3,324.678,12.0,0.009,35.596,33.95,30000.0
