,T1 (Celsius),P1 (MPa),P2 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,37.971,26.878,30000.0
1,513.333,9.333,0.01,40.287,23.128,30000.0
2,626.667,10.667,0.009,42.615,20.161,30000.0
3,740.0,12.0,0.009,44.908,17.741,30000.0
