,T1 (Celsius),P1 (MPa),P6 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,400.0,8.0,0.01,41.155,30.176,30000.0
1,513.333,9.333,0.01,44.634,27.738,30000.0
2,626.667,10.667,0.009,47.522,23.688,30000.0
3,740.0,12.0,0.009,50.145,20.399,30000.0
