,Temperature (C),Pressure (MPa),Enthalpy (kJ/kg),Entropy (kJ/kg*K)
1,740.0,12.0,3956.917,7.175
2,6.97,0.001,2301.634,8.218
3,6.97,0.001,29.298,0.106
4,7.528,12.0,43.376,0.113
