,Temperature (C),Pressure (MPa),Enthalpy (kJ/kg),Entropy (kJ/kg*K)
1,740.0,12.0,3956.917,7.175
2,6.97,0.001,2009.526,7.175
3,6.97,0.001,29.298,0.106
4,7.02,12.0,41.264,0.106
