,Temperature (C),Pressure (MPa),Enthalpy (kJ/kg),Entropy (kJ/kg*K)
1,324.678,12.0,2685.583,5.494
2,275.586,6.0,2585.032,5.526
3,233.858,3.0,2486.385,5.561
4,294.678,3.0,2980.731,6.517
5,219.782,1.5,2849.628,6.565
6,6.97,0.001,1990.195,7.106
7,6.97,0.001,29.298,0.106
8,6.974,1.5,30.797,0.106
9,198.295,1.5,844.717,2.315
10,200.001,12.0,856.792,2.315
11,237.794,12.0,1028.31,2.663
12,275.586,6.0,1213.731,3.027
13,198.295,1.5,1213.731,3.097
