,Temperature (C),Pressure (MPa),Enthalpy (kJ/kg),Entropy (kJ/kg*K)
1,324.678,12.0,2685.583,5.494
2,233.858,3.0,2487.532,5.563
3,304.678,3.0,3006.185,6.562
4,6.97,0.001,2012.982,7.187
5,6.97,0.001,29.298,0.106
6,7.02,12.0,41.264,0.106
