,Temperature (C),Pressure (MPa),Enthalpy (kJ/kg),Entropy (kJ/kg*K)
1,324.678,12.0,2685.583,5.494
2,233.858,3.0,2452.582,5.494
3,304.678,3.0,3006.185,6.562
4,167.755,0.75,2711.957,6.562
5,6.97,0.001,1837.711,6.562
6,6.97,0.001,29.298,0.106
7,6.972,0.75,30.047,0.106
8,167.755,0.75,709.384,2.02
9,169.171,12.0,721.85,2.02
