,Temperature (C),Pressure (MPa),Enthalpy (kJ/kg),Entropy (kJ/kg*K)
1,324.678,12.0,2685.583,5.494
2,233.858,3.0,2487.532,5.563
3,304.678,3.0,3006.185,6.562
4,167.755,0.75,2756.091,6.662
5,6.97,0.001,1999.302,7.139
6,6.97,0.001,29.298,0.106
7,6.972,0.75,30.047,0.106
8,167.755,0.75,709.384,2.02
9,167.861,1.579,710.305,2.02
10,207.861,1.579,2813.106,6.468
