,Temperature (C),Pressure (MPa),Enthalpy (kJ/kg),Entropy (kJ/kg*K)
1,324.678,12.0,2685.583,5.494
2,6.97,0.001,1538.639,5.494
3,6.97,0.001,29.298,0.106
4,7.02,12.0,41.264,0.106
