,Temperature (C),Pressure (MPa),Enthalpy (kJ/kg),Entropy (kJ/kg*K)
1,740.0,12.0,3956.917,7.175
2,602.204,6.0,3663.935,7.175
3,479.474,3.0,3410.924,7.175
4,710.0,3.0,3935.563,7.783
5,577.721,1.5,3644.947,7.783
6,6.97,0.001,2179.73,7.783
7,6.97,0.001,29.298,0.106
8,6.974,1.5,30.797,0.106
9,198.295,1.5,844.717,2.315
10,200.001,12.0,856.792,2.315
11,314.678,12.0,1426.773,3.388
12,275.586,6.0,1213.731,3.027
13,198.295,1.5,1213.731,3.097
