,Temperature (C),Pressure (MPa),Enthalpy (kJ/kg),Entropy (kJ/kg*K)
1,324.678,12.0,2685.583,5.494
2,6.97,0.001,1710.68,6.108
3,6.97,0.001,29.298,0.106
4,7.528,12.0,43.376,0.113
