Load Step, Strain 1, Strain 2, Strain 3, Strain 4, Strain 5
42,0.00001118313,0.00000645813,0.00000189,0.00003801724138,0.00007648525862
131,0.000034880715,0.000020143215,0.000005895,0.0001185775862,0.0002385611638
274,0.00007295661,0.00004213161,0.00001233,0.0002480172414,0.0004989752586
350,0.00009319275,0.00005381775,0.00001575,0.0003168103448,0.0006373771552
448,0.00011928672,0.00006888672,0.00002016,0.0004055172414,0.0008158427586
544,0.00014484816,0.00008364816,0.00002448,0.0004924137931,0.0009906662069
